Commodity Type,Region,ADM2_PCODE,Province,2021,2022,2023,2024,2025,2026
Overall Corn,Region XIII (Caraga),1600200000,Agusan del Norte,19158.3,18167.0,18711.65,19109.2,19318.0,2081.0
Overall Corn,Region XIII (Caraga),1600300000,Agusan del Sur,108620.5,76475.0,101700.18,102353.2,102227.84,3466.0
Overall Corn,Region XIII (Caraga),1606700000,Surigao del Norte,1893.79,1803.19,2187.81,2287.0,2387.0,225.0
Overall Corn,BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM) 1/,1606800000,Surigao del Sur,11606.25,12778.07,11627.0,14517.0,12633.0,732.0
Overall Corn,Region XIII (Caraga),1608500000,Dinagat Islands,370.0,288.46,244.64,348.0,335.86,38.93
Overall Corn,,1630400000,Butuan City,,,,,,837.72
Overall Corn,MIMAROPA Region,1704000000,Marinduque,867.0,1102.64,1369.0,1291.0,1334.51,546.31
Overall Corn,MIMAROPA Region,1705100000,Occidental Mindoro,88116.45,100584.9,99389.93,79408.18,99958.46,44400.3
Overall Corn,MIMAROPA Region,1705200000,Oriental Mindoro,4683.02,3904.77,3994.1,5078.29,4545.92,843.7
Overall Corn,MIMAROPA Region,1705300000,Palawan,20375.0,19470.91,18968.52,18933.34,18675.7,6389.64
Overall Corn,MIMAROPA Region,1705900000,Romblon,1256.0,1887.0,1604.0,1297.46,1464.0,418.0
Overall Corn,,1731500000,Puerto Princesa City,,,,,,329.37
Overall Corn,NEGROS ISLAND REGION (NIR) 2/,1804500000,Negros Occidental,159888.0,155196.0,136091.0,69977.1,51840.0,10191.0
Overall Corn,NEGROS ISLAND REGION (NIR) 2/,1804600000,Negros Oriental,44397.0,37385.85,48334.9,41784.44,46863.86,8454.5
Overall Corn,NEGROS ISLAND REGION (NIR) 2/,1806100000,Siquijor,4777.0,2795.11,2430.86,814.54,1025.21,504.07
Overall Corn,,1830200000,Bacolod City,,,,,,10.16
Overall Corn,BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM) 1/,1900700000,Basilan,260.0,576.43,670.0,620.0,500.0,120.0
Overall Corn,BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM) 1/,1903600000,Lanao del Sur,447447.37,444029.42,446071.78,450748.73,452390.89,122178.78
Overall Corn,BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM) 1/,1907000000,Tawi-Tawi,967.0,966.0,967.0,928.0,644.0,258.3
Overall Corn,BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM) 1/,1908700000,Maguindanao del Norte,,,,315118.66,326224.0,100766.0
Overall Corn,BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM) 1/,1908800000,Maguindanao del Sur,686980.35,695209.22,716452.42,401899.44,418922.0,148119.0
