Commodity Type,Region,Province,ADM2_PCODE,2020,2021,2022,2023,2024,2025
Tilapia,Region V,Masbate,0504100000,55.07,602.81,114.5,67.6,10.81,202.08
Tilapia,Region V,Sorsogon,0506200000,11.86,58.44,41.83,119.6,40.23,21.45
Tilapia,Region VI,Aklan,0600400000,90.29,92.44,108.09,67.11,840.17,65.35
Tilapia,Region VI,Antique,0600600000,52.88,51.61,46.99,42.28,93.21,79.55
Tilapia,Region VI,Capiz,0601900000,339.71,605.65,1080.64,537.56,122.45,120.75
Tilapia,Region VI,Guimaras,0607900000,52.56,40.66,29.1,16.82,25.29,13.72
Tilapia,Region VI,Iloilo,0603000000,3588.78,3475.53,211.37,219.09,195.3,273.08
Tilapia,NIR,Negros Occidental,1804500000,2018.2,2846.49,1895.72,721.58,2106.83,432.87
Tilapia,NIR,Negros Oriental,1804600000,61.83,137.43,38.89,97.79,99.56,102.77
Tilapia,NIR,Siquijor,1806100000,1.39,0.58,0.64,4.64,2.4,6.11
Tilapia,Region VII,Bohol,0701200000,187.48,174.03,381.2,368.8,446.74,466.48
Tilapia,Region VII,Cebu,0702200000,250.17,145.93,34.55,27.96,46.35,87.99
Tilapia,Region VIII,Biliran,0807800000,1.38,1.35,5.3,2.45,11.49,21.9
Tilapia,Region VIII,Eastern Samar,0802600000,3.2,0.93,8.4,3.29,15.85,3.66
Tilapia,Region VIII,Leyte,0803700000,720.53,356.08,183.62,152.7,219.62,372.98
Tilapia,Region VIII,Northern Samar,0804800000,50.46,63.15,92.89,102.92,59.98,37.06
Tilapia,Region VIII,Samar,0806000000,11.63,33.49,29.74,39.08,84.77,52.76
Tilapia,Region VIII,Southern Leyte,0806400000,67.12,48.21,65.87,56.95,62.04,41.47
Tilapia,Region IX,Sulu,0906600000,0,0,0,0,0,0
Tilapia,Region IX,Zamboanga del Norte,0907200000,83.82,66.59,41.19,25.79,22.14,8.89
Tilapia,Region IX,Zamboanga del Sur,0907300000,998.55,347.17,402.44,555.79,595.01,317.77
Tilapia,Region IX,Zamboanga Sibugay,0908300000,2.62,12.33,154.06,34.64,50.9,39.98
Tilapia,Region IX,City of Zamboanga,,11.19,10.74,0,0,0,30.19
Tilapia,Region X,Bukidnon,1001300000,1571.04,505.4,498.55,259.59,345.46,451.54
Tilapia,Region X,Camiguin,1001800000,16.07,31.02,3,3.6,13.77,2.1
Tilapia,Region X,Lanao del Norte,1003500000,1066.86,1161.22,3917.22,3904.88,3411.19,3569.59
Tilapia,Region X,Misamis Occidental,1004200000,67.17,64.85,120.83,100.18,64.64,39.88
Tilapia,Region X,Misamis Oriental,1004300000,108.59,160.98,149.23,151.01,105.13,85.47
Tilapia,Region XI,Davao de Oro,1108200000,190.73,227.25,212.93,102.13,55.76,201.5
Tilapia,Region XI,Davao del Norte,1102300000,200.45,260.76,518.73,619.47,85.37,239.88
Tilapia,Region XI,Davao del Sur,1102400000,1782.33,2090.99,287.55,214.2,123.52,78.25
Tilapia,Region XI,Davao Occidental,1108600000,275.51,449.33,29.44,48.5,12.97,158.16
Tilapia,Region XI,Davao Oriental,1102500000,30.12,5.99,21.93,18.15,26.04,97.13
Tilapia,Region XI,City of Davao,,64.12,28.28,0,0,0,167.58
Tilapia,Region XII,Cotabato,1204700000,4204.77,4901.27,5656.5,2727.09,3145.18,2361.17
Tilapia,Region XII,Sarangani,1208000000,2147.94,3254.07,3886.14,3700.73,4333.55,4840.06
Tilapia,Region XII,South Cotabato,1206300000,1914.29,1354.97,1536.36,1901.04,3755.36,1956.66
Tilapia,Region XII,Sultan Kudarat,1206500000,3785.61,9317.19,6742.68,11478.84,8041.23,9679.83
Tilapia,Region XIII,Agusan del Norte,1600200000,225.29,633.93,954.85,662.52,759.74,1512.46
Tilapia,Region XIII,Agusan del Sur,1600300000,288.1,223.59,228.04,230.53,272.85,353.72
Tilapia,Region XIII,Dinagat Islands,1608500000,0.92,2.92,7.46,3.93,19.69,19.93
Tilapia,Region XIII,Surigao del Norte,1606700000,233.07,162.89,107.57,220.49,96.98,82.9
Tilapia,Region XIII,Surigao del Sur,1606800000,100.06,155.84,165.25,200.51,140.64,56.5
Tilapia,Region XIII,City of Butuan,,0,0,0,0,0,0
Tilapia,BARMM,Basilan,1900700000,0.72,1.62,0.04,4.19,2.59,0.34
Tilapia,BARMM,Lanao del Sur,1903600000,406.82,580.59,441.5,921.52,1096.54,1300.51
Tilapia,BARMM,Maguindanao del Norte,1908700000,18991.48,30208.16,30157.43,7196.53,5135.15,7124.18
Tilapia,BARMM,Maguindanao del Sur,1908800000,0,0,0,18891.03,18212.89,22750.99
Tilapia,Region IX,Sulu,0906600000,0,0,0,0,0,0
Tilapia,BARMM,Tawi-Tawi,1907000000,0,0,0,0,0,0.7
