Commodity Type,Region,Province,ADM2_PCODE,2020,2021,2022,2023,2024,2025,2026
Lemon Grass,Region XIII,City of Butuan,1630400000,0.00,0.00,0.00,0.00,0.00,0.00,7.22
Lemon Grass,Region XIII,Agusan del Sur,1600300000,28.80,26.90,26.08,36.10,49.30,50.45,6.63
Lemon Grass,Region XIII,Dinagat Islands,1608500000,5.06,5.25,4.18,5.90,10.05,8.49,2.18
Lemon Grass,Region XIII,Surigao del Norte,1606700000,19.91,18.59,12.82,16.70,23.49,42.60,7.15
Lemon Grass,Region XIII,Surigao del Sur,1606800000,141.77,142.48,199.21,234.40,85.71,49.78,21.85
Lemon Grass,BARMM,Basilan,1900700000,1.45,1.27,1.84,3.13,2.39,5.74,0.08
Lemon Grass,BARMM,Lanao del Sur,1903600000,80.89,80.53,80.32,80.22,56.30,37.22,19.17
Lemon Grass,BARMM,Maguindanao,,8.80,9.05,9.21,9.28,9.25,14.77,2.90
Lemon Grass,BARMM,Maguindanao del Norte,1908700000,0.00,0.00,0.00,0.00,0.00,9.47,1.50
Lemon Grass,BARMM,Maguindanao del Sur,1908800000,0.00,0.00,0.00,0.00,0.00,5.30,1.40
Lemon Grass,BARMM,Sulu,0906600000,0.00,0.00,0.00,0.00,0.16,0.22,0.00
Lemon Grass,BARMM,Tawi-tawi,1907000000,14.00,15.56,16.79,17.52,18.10,39.00,20.48
